Task,Count of tasks_to_dwas.csv
"Write reports to summarize student performance, social growth, or physical development.",1
Write reports to document wind farm collector system test results.,1
Write reports regarding investigations of information security breaches or network evaluations.,1
Write reports or proposals related to photonics research or development projects.,3
Write reports or prepare presentations to communicate fundraising program data.,1
Write reports or notes to summarize testing procedures or outcomes for physicians or other medical professionals.,1
"Write reports or complete forms to document assessments, training, progress, or follow-up outcomes.",1
Write reports or case summaries to document investigations.,1
Write reports or articles for Web sites or newsletters related to environmental engineering issues.,2
Write reports or academic papers to communicate findings of climate-related studies.,1
Write reports on research findings and implications to contribute to general knowledge or to suggest potential changes in organizational functioning.,1
Write reports on clients and maintain required paperwork.,1
"Write reports of findings and recommendations and advise farmers, growers, or processors of corrective action to be taken.",2
"Write reports of daily activities and irregularities, such as equipment or property damage, theft, presence of unauthorized persons, or unusual occurrences.",1
"Write reports of activities, and maintain files of impoundments and dispositions of animals.",2
Write reports documenting observations made while on patrol.,1
Write reports describing offenders' progress.,1
"Write reports and maintain proper documentation of information, such as client Medicaid or billing records or caseload activities, including the initial evaluation, treatment, progress, and discharge of clients.",2
"Write proposals, project reports, informational brochures, or other documents on wastewater purification, water supply and demand, or other water resource subjects.",2
Write proposals to win new projects.,2
Write proposals to secure external funding or to partner with other companies.,1
"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",1
"Write programs in the language of a machine's controller and store programs on media, such as punch tapes, magnetic tapes, or disks.",1
Write programs for computer numerical control (CNC) machines to cut metal and plastic materials.,2
Write program code to analyze data with statistical analysis software.,1
Write press releases or other media communications to promote clients.,1
Write prescriptions for psychotropic medications as allowed by state regulations and collaborative practice agreements.,1
Write prescriptions for antibiotics or other medications.,1
Write photograph captions.,1
Write performance requirements for product development or engineering projects.,1
"Write patrons' food orders on order slips, memorize orders, or enter orders into computers for transmittal to kitchen staff.",2
Write patient discharge summaries and send them to primary care physicians.,2
"Write pathology reports summarizing analyses, results, and conclusions.",1
"Write original or adapted material for dramas, comedies, puppet shows, narration, or other performances.",1
Write original literary pieces.,1
"Write original content, such as headlines, cutlines, captions, and cover copy.",1
"Write or update standard operating procedures, work instructions, or policies.",2
Write or supervise the writing of game text and dialogue.,2
Write or revise standard quality control operating procedures.,1
Write or revise standard operating procedures for logistics processes.,2
"Write or review security-related documents, such as incident reports, proposals, and tactical or strategic initiatives.",1
"Write or prepare detailed clinical neuropsychological reports, using data from psychological or neuropsychological tests, self-report measures, rating scales, direct observations, or interviews.",2
Write or modify individualized education plans (IEPs) for students with intellectual or physical disabilities.,1
Write or modify design specifications such as the metal contents and weights of items.,1
"Write or maintain archived procedures, procedural codes, or queries for applications.",1
Write or install energy management routines for building automation systems.,1
Write or edit copy for clients.,2
Write or contribute to instructions or manuals to guide end users.,1
Write operational instructions to be used in nuclear plant operation or nuclear fuel or waste handling and disposal.,1
"Write online blog entries that address news developments or offer additional information, opinions, or commentary on news events.",1
Write nursing orders.,1
Write new scripts for broadcasts.,1
"Write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",3
Write new functions or applications in programming languages to conduct analyses.,1
"Write narrative, dramatic, lyric, or other types of poetry for publication.",1
"Write musical scores for orchestras, bands, choral groups, or individual instrumentalists or vocalists, using knowledge of music theory and of instrumental and vocal capabilities.",1
"Write music for commercial mediums, including advertising jingles or film soundtracks.",1
"Write materials for research publications, such as maps, tables, and reports, to disseminate findings.",2
Write makeup sheets and take photos to document specific looks and the products used to achieve the looks.,1
"Write letters related to labor relations activities, such as letters to amend collective bargaining agreements, letters of dispute or conciliation, or letters to seek clarification of contract terms.",1
Write letters of recommendation for students.,14
"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet Web pages.",1
"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",1
Write instructional articles on designated subjects.,1
Write instruction sheets and cutter lists for a machine's controller to guide setup and encode numerical control tapes.,1
Write information in medical records or provide narrative summaries to communicate patient information to other health care providers.,2
"Write humorous material for publication, or for performances such as comedy routines, gags, and comedy shows.",1
"Write groundwater contamination reports on known, suspected, or potential hazardous waste sites.",1
"Write grants to procure external funding, and supervise grant-funded projects.",2
Write grants to obtain funding for restoration projects.,2
Write grants to obtain funding for research projects.,2
Write grants and papers or attend fundraising events to seek research funds.,1
Write grant proposals to procure external research funding.,33
Write grant proposals to procure external research funding and review others' grant proposals.,1
Write grant proposals to obtain funding for research.,2
Write grant proposals to obtain funding for biological research.,1
"Write grant applications, rebate applications, or project proposals to secure funding for sustainability projects.",1
Write grant applications to obtain funding.,2
Write grant applications to fund epidemiologic research.,2
"Write for technical magazines, journals, and trade association publications.",1
"Write fiction or nonfiction prose, such as short stories, novels, biographies, articles, descriptive or critical analyses, and essays.",2
"Write evaluations of parents and children for use by courts deciding divorce and custody cases, testifying in court if necessary.",1
"Write drafts of legislative proposals, and prepare speeches, correspondence, and policy papers for governmental use.",1
"Write documents describing protocols, policies, standards for use, maintenance, and repair of medical equipment.",1
"Write detailed reports of fire inspections performed, fire code violations observed, and corrective recommendations offered.",1
Write detailed functional specifications that document the hardware development process and support hardware introduction.,1
Write detailed consultation reports to provide information on complex genetic concepts to patients or referring physicians.,1
Write detailed analysis plans and descriptions of analyses and findings for research protocols or reports.,2
Write descriptions of the property being appraised.,1
"Write descriptions of property boundary surveys for use in deeds, leases, or other legal documents.",1
Write decisions on cases.,1
"Write cyber defense recommendations, reports, or white papers using research or experience.",2
Write customer orders and sales contracts according to company guidelines.,1
Write copy as part of layout.,1
Write computer programs or scripts to be used in querying databases.,1
"Write commentaries, columns, or scripts, using computers.",1
"Write columns, editorials, commentaries, or reviews that interpret events or offer opinions.",1
Write budgets to plan recreational activities or programs.,1
Write audit reports to communicate technical and procedural findings and recommend solutions.,1
"Write articles, white papers, or reports to share research findings and educate others.",1
"Write articles, manuals, and other publications, and assist in the distribution of promotional literature about facilities and programs.",1
"Write articles, manuals, and other publications and assist in the distribution of promotional literature about programs and facilities.",1
"Write articles, bulletins, sales letters, speeches, and other related informative, marketing and promotional material.",1
Write articles for publication in professional journals.,1
Write articles and books.,1
Write applications for research grants.,2
"Write and submit reports that include data such as the number of passengers or trips, hours worked, mileage driven, or fuel consumed.",1
Write and submit reports about the results of calibration tests.,1
Write and submit proposals to bid on contracts for projects.,1
Write and submit maintenance work requisitions.,2
"Write and submit appraisal reports for property, such as jewelry, art, antiques, collectibles, and equipment.",1
Write and send letters of thanks to donors.,1
Write and revise safety regulations and codes.,1
"Write and review product specifications, maintaining a working technical knowledge of the goods or services to be purchased.",1
"Write and review grant proposals, journal articles, institutional reports, and publicity materials.",3
Write and record orders for merchandise or enter orders into computers.,1
Write and publish articles in scientific journals.,1
Write and present strategies for recreational facility programming using customer or employee data.,2
Write and present reports of research findings.,1
Write and present department budgets to upper management or other stakeholders.,3
"Write and execute scripts to automate tasks, such as parsing large data files.",2
Write and edit video and scripts for broadcasts.,1
"Write and edit technical documentation for digital interface products and designs, such as user manuals, testing protocols, and reports.",1
Write and edit news stories from information collected by reporters and other sources.,2
Write and distribute financial or environmental impact reports.,1
"Write and code logical and physical database descriptions, and specify identifiers of database to management system or direct others in coding descriptions.",2
"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions.",2
Write algorithms or programming code for ad hoc robotic applications.,1
"Write advertising material for use by publication, broadcast, or internet media to promote the sale of goods and services.",1
Write about and present research findings for a variety of specialized and general audiences.,1
"Wrap, weigh, label, and price cuts of meat.",3
"Wrap, label, or date food items for sale.",1
Wrap water heaters with water heater blankets.,1
"Wrap packages or bundles by hand, or by using tying machines.",1
"Wrap menu items such as sandwiches, hot entrees, and desserts for serving or for takeout.",1
Wrap dressed carcasses or meat cuts.,2
"Wrap and secure goods using pads, packing paper, containers, or straps.",2
"Wrap air ducts and water lines with insulating materials, such as duct wrap and pipe insulation.",1
"Work with technical material, preparing statistical reports, planning and typing statistical tables, and combining and rearranging material from different sources.",2
"Work with staff to develop script, story, or advertising concepts.",1
"Work with personnel and facilities management staff to install, remove, or relocate user connectivity equipment and devices.",2
Work with parents to develop and implement discipline programs to promote desirable child behavior.,1
Work with others to change advertising displays.,1
"Work with other crew members responsible for lighting, costumes, make-up, and props.",1
Work with or remove hazardous material.,1
Work with multidisciplinary teams to assess and rehabilitate recipients of implanted hearing devices through auditory training and counseling.,1
"Work with individuals, groups, or families to plan or implement programs designed to improve the overall health of communities.",1
Work with customers to assess the environmental impact of proposed construction or to develop pollution prevention programs.,2
Work with creative directors to develop design solutions.,1
Work with clients to identify their financial goals and to find ways of reaching those goals.,1
"Work under the direction of occupational therapists to plan, implement, or administer educational, vocational, or recreational programs that restore or enhance performance in individuals with functional impairments.",1
"Work on high ceilings, using scaffolding or other tools, such as stilts.",1
"Work from ladders, scaffolds, or roofs to install, maintain, or repair electrical wiring, equipment, or fixtures.",1
"Work closely with photographers, fashion coordinators, directors, producers, stylists, make-up artists, other models, and clients to produce the desired looks, and to finish photo shoots on schedule.",1
"Work closely with directors, other actors, and playwrights to find the interpretation most suited to the role.",1
"Work as part of a team that may include psychiatrists, psychologists, psychiatric nurses, or social workers.",1
"Work as part of a team of physicians, nurses, or other healthcare professionals to manage patient care by assisting with medical procedures or related duties.",2
Work as part of a team of demonstrators to accommodate large crowds.,1
"Work as part of a team of dealers in games, such as baccarat or craps.",1
Work as part of a project team to coordinate database development and determine project scope and limitations.,1
"Work as part of a healthcare team to assess patient needs, plan and modify care, and implement interventions.",1
"Work as part of a flight team with other crew members, especially during takeoffs and landings.",1
"Work as a member of a team, rotating between chain saw operation and skidder operation.",1
Witness and certify deaths that are the result of a judicial order.,1
"Withdraw drill rods from holes, and extract core samples.",1
Withdraw cores or other loose mold members after castings solidify.,1
"Withdraw cables from pipes and examine them for evidence of mud, roots, grease, and other deposits indicating broken or clogged sewer lines.",1
Wire and solder electrical and electronic connections and components.,1
Wipe tables or seats with dampened cloths or replace dirty tablecloths.,1
Wipe finish rollers with cloths and wash finish trays with water when necessary.,1
Wind parking meter clocks.,1
Wind large springs with upward motion of arm.,1
Wind chafers and breakers onto plies.,1
Whiten underside of nails with white paste or pencils.,1
"Wet surface to prepare for bonding, fill holes and cracks with grout or slurry, and smooth, using trowel.",3
"Wet surface to prepare for bonding, fill holes and cracks with grout or slurry, and smooth with a trowel.",3
"Wet concrete surface, and rub with stone to smooth surface and obtain specified finish.",1
Wet concrete surface and rub with stone to smooth surface and obtain specified finish.,1
"Weld, repair, and fabricate equipment or machinery.",3
"Weld, braze, or solder electrical connections.",1
"Weld tubing and fittings or solder cable ends, using tack welders, induction brazing chambers, or other equipment.",2
"Weld small pipes or special piping, using specialized techniques, equipment, or materials, such as computer-assisted welding or microchip fabrication.",1
"Weld separately or in combination, using aluminum, stainless steel, cast iron, and other alloys.",1
"Weld sections of track together, such as switch points and frogs.",1
"Weld piping, such as high density polyethylene (HDPE) piping, using techniques such as butt, socket, side-wall, and electro-fusion welding.",1
"Weld or solder broken parts and structural members, using electric or gas welders and soldering tools.",2
"Weld metal parts together, using portable gas welding equipment.",1
"Weld components in flat, vertical, or overhead positions.",1
"Weigh, mix, and melt metal alloys or materials needed for jewelry models.",3
"Weigh, measure, and record fuel used.",2
"Weigh, measure, and mix ingredients according to recipes or personal judgment, using various kitchen utensils and equipment.",2
"Weigh, grind, or pack coffee beans for customers.",2
"Weigh, analyze, or measure collected sample particles, such as lead, coal dust, or rock, to determine concentration of pollutants.",1
"Weigh products or estimate their weight, visually or by feel.",1
"Weigh packages or letters to determine postage needed, using weighing scales and rate charts.",1
Weigh packages and adjust freezer air valves or switches on filler heads to obtain specified amounts of product in each container.,2
"Weigh or measure specified amounts of ingredients or materials for processing, using devices such as scales and calipers.",1
"Weigh or measure products, using scale hoppers or scale conveyors.",2
"Weigh or measure materials, ingredients, or products to ensure conformance to requirements.",3
"Weigh or measure materials, ingredients, or products at specified intervals to ensure conformance to requirements.",3
"Weigh or measure materials, equipment, or products to maintain relevant records, using volume meters, scales, rules, or calipers.",1
Weigh or measure materials or products to ensure conformance to specifications.,2
"Weigh or measure materials and products, using scales or other measuring instruments, or read scales on conveyors that continually weigh products, to verify specified tonnages and prevent overloads.",2
Weigh or measure ingredients.,1
"Weigh or measure chemicals, coatings, or paints before adding them to machines.",1
Weigh meats and tag containers for weight and contents.,2
"Weigh materials, products, containers, or samples to verify packaging weights or ingredient quantities.",2
"Weigh materials to be charged into furnaces, using scales.",1
Weigh materials or products and record weight or other production data on tags or labels.,2
"Weigh log trucks before and after unloading, and record load weights and supplier identities.",1
"Weigh letters and parcels, compute mailing costs based on type, weight, and destination, and affix correct postage.",2
Weigh items sold by weight to determine prices.,1
"Weigh ingredients, such as dye, to be mixed together for use in textile processing.",1
"Weigh envelopes containing statements to determine correct postage and affix postage, using stamps or metering equipment.",1
"Weigh crop-filled containers, and record weights and other identifying information.",2
"Weigh clay, and mix with water and chemicals to make drilling mud.",2
"Weigh clay, and mix with water and chemicals to make drilling mud, using portable mixers.",2
"Weigh bundles, using floor scales, and record weights for company records.",2
"Weigh and mix pelletized, granular, or powdered thermoplastic materials and coloring pigments.",2
"Wear costumes or sign boards and walk in public to promote merchandise, services, or events.",1
"Waterproof or restore concrete surfaces, using appropriate compounds.",1
"Waterproof or damp-proof walls, floors, roofs, foundations, or basements by painting or spraying surfaces with waterproof coatings or by attaching waterproofing membranes to surfaces.",1
"Waterproof buildings, using waterproofers or caulking.",1
"Water, root-feed, and fertilize trees.",1
"Water lawns, trees, or plants, using portable sprinkler systems, hoses, or watering cans.",1
Watch for potentially dangerous persons whose pictures are posted at checkpoints.,1
Watch for and recognize security risks and thefts and know how to prevent or handle these situations.,1
"Wash, peel, cut, and seed fruits and vegetables to prepare them for consumption.",1
"Wash, peel, and cut various foods, such as fruits and vegetables, to prepare for cooking or serving.",1
"Wash, groom, shave, or drape patients to prepare them for surgery, treatment, or examination.",1
"Wash, cut, and prepare foods designated for cooking.",1
"Wash work areas, machines, equipment, vehicles, or products.",3
"Wash windows, walls, ceilings, and woodwork, waxing and polishing as necessary.",2
"Wash the aircraft exteriors using lifts, cranes, detergent, or other equipment.",1
Wash surfaces to prepare them for finish application.,1
"Wash pots, pans, dishes, utensils, or other cooking equipment.",1
"Wash polished terrazzo surface, using cleaner and water, and apply sealer and curing agent according to manufacturer's specifications, using brush or sprayer.",2
Wash metal instruments in lacquer-stripping and cyanide solutions to remove lacquer and tarnish.,1
Wash glasses or other serving equipment at bars.,1
"Wash dishes, glassware, flatware, pots, or pans, using dishwashers or by hand.",1
"Wash dishes, glassware, and silverware after meals.",1
"Wash decks, conveyors, knives, and other equipment, using brushes, detergents, and water.",1
"Wash concrete surfaces before mounting tile to increase adhesive qualities of surfaces, using washing soda and zinc sulfate solution.",1
"Wash and treat surfaces with oil, turpentine, mildew remover, or other preparations, and sand rough spots to ensure that finishes will adhere properly.",2
"Wash and sterilize equipment, using germicides and sterilizers.",2
"Wash and sort pelts according to species, color, and quality.",1
Wash and reset wigs.,1
"Wash and dry bodies, using germicidal soap and towels or hot air dryers.",1
Warn violators of infractions or penalties.,1
"Warn recreational participants of inclement weather, unsafe areas, or illegal conduct.",1
"Warn persons of rule infractions or violations, and apprehend or evict violators from premises, using force when necessary.",2
Warn maintenance workers of radiation hazards and direct workers to vacate hazardous areas.,1
"Walk, ride bicycles, drive vehicles, or use public conveyances to reach destinations to deliver messages or materials.",1
Walk or drive vehicles along established routes to take readings of meter dials.,1
"Walk flow lines to locate leaks, using electronic detectors and by making visual inspections, and repair the leaks.",2
Walk beside or ride on planting machines while inserting plants in planter mechanisms at specified intervals.,2
Walk aisles of planes to verify that passengers have complied with federal regulations prior to takeoffs and landings.,1
"Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.",1
Visually inspect equipment to detect surface defects.,1
Visually inspect cargo for damage upon arrival or discharge.,1
Visually inspect and test photovoltaic (PV) modules or systems.,2
"Visually examine materials, structures, or components for signs of corrosion, metal fatigue, cracks, or other flaws, using tools and equipment such as endoscopes, closed-circuit television systems, and fiber optics.",1
"Visualize and compute dimensions, sizes, shapes, and tolerances of assemblies, based on specifications.",1
"Visit vendors, attend conferences or training sessions, or study technical journals to keep up with changes in technology.",1
"Visit trade shows, stores, community organizations, or other venues to demonstrate products or services or to answer questions from potential customers.",2
Visit textile showrooms to keep up-to-date on the latest fabrics.,1
Visit suppliers of materials or users of products to gather specific information.,1
Visit stores to ensure compliance with company policies and procedures.,1
"Visit sites to observe environmental problems, to consult with contractors, or to monitor construction activities.",2
"Visit site and record information about access, drainage and topography, and availability of utility services.",2
Visit schools to tutor students with sensory impairments or to consult with teachers regarding students' special needs.,1
Visit schools to tutor students with sensory impairments and to consult with teachers regarding students' special needs.,2
Visit retailers and sales representatives to promote products and gather information.,2
"Visit prospective buyers at commercial, industrial, or other establishments to show samples or catalogs, and to inform them about product pricing, availability, and advantages.",2
Visit proposed installation sites and draw rough sketches of location.,1
Visit properties to assess them before showing them to clients.,1
"Visit people in homes, hospitals, or prisons to provide them with comfort and support.",1
"Visit morgues, examine scenes of crimes, or contact other sources to obtain evidence or information to be used in investigations.",1
"Visit individuals in homes or attend group meetings to provide information on agency services, requirements, or procedures.",1
Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,1
"Visit establishments, such as pharmacies, to determine product sales.",1
Visit establishments to verify that valid licenses or permits are displayed and that licensing standards are being upheld.,1
Visit establishments to evaluate needs or to promote product or service sales.,2
Visit development or work sites to determine projects' effect on traffic and the adequacy of traffic control and safety plans or to suggest traffic control measures.,1
"Visit customer sites to determine solar system needs, requirements, or specifications.",1
Visit congregational members' homes or arrange for pastoral visits to provide information or resources regarding religious education programs.,1
Visit beta testing sites to evaluate software performance.,1
Visit areas affected by erosion problems to identify causes or determine solutions.,1
"Visit and observe patients on hospital rounds or house calls, updating charts, ordering therapy, and reporting back to physician.",3
Visit and assess structural and electrical layout of locations before setting up lighting equipment.,1
"View monitors for visual representation of work in progress and for instructions and feedback throughout process, making modifications as necessary.",1
"View images of checked bags and cargo, using remote screening equipment, and alert baggage screeners or handlers to any possible problems.",2
"View films to resolve problems of exposure control, subject and camera movement, changes in subject distance, and related variables.",1
"Verify, collect, or punch tickets before admitting patrons to venues, such as amusement parks and rides.",1
"Verify vertical and horizontal alignment of structural steel members, using plumb bobs, laser equipment, transits, or levels.",1
"Verify trueness of structure, using plumb bob and level.",1
"Verify the structure, accuracy, or quality of warehouse data.",1
Verify the mathematical correctness of newly collected survey data.,1
Verify the identity of patient or operative site.,1
Verify the contents of inventory loads against shipping papers.,1
"Verify the authenticity of documents, such as foreign identification or immigration documents.",1
"Verify the accuracy of survey data, including measurements and calculations conducted at survey sites.",1
"Verify that workpiece reference lines are parallel to the axis of table rotation, using dial indicators mounted in spindles.",1
Verify that well field monitoring data conforms to applicable regulations.,1
Verify that transportation and handling procedures meet regulatory requirements.,1
Verify that the proper legal charges have been made against law offenders.,1
Verify that software technology is in place to adequately provide oversight and monitoring in all required areas.,1
"Verify that raw materials, purchased parts or components, in-process samples, and finished products meet established testing and inspection standards.",1
Verify that property matches legal descriptions or certifications.,1
Verify that prepared food meets requirements for quality and quantity.,1
Verify that paper and ink meet the specifications for a given job.,1
"Verify that items are addressed correctly, marked with the proper postage, and in suitable condition for processing.",1
"Verify that incoming and outgoing products are moving through the correct meters, and that meters are working properly.",1
"Verify that heating, ventilating, and air conditioning (HVAC) systems are designed, installed, and calibrated in accordance with green certification standards, such as those of Leadership in Energy and Environmental Design (LEED).",1
"Verify that hazardous chemicals are handled, stored, and disposed of in accordance with regulations.",2
"Verify that first aid kits and other emergency equipment, including fire extinguishers and oxygen bottles, are in working order.",1
Verify that finished lenses are ground to specifications.,1
Verify that equipment is being operated and maintained according to quality assurance standards by observing worker performance.,1
Verify that delivery schedules meet project deadlines.,1
"Verify that cytogenetic, molecular genetic, and related equipment and instrumentation is maintained in working condition to ensure accuracy and quality of experimental results.",1
"Verify that all regulatory policies and procedures have been documented, implemented, and communicated.",3
Verify that all job descriptions are submitted for review and approval and that descriptions meet regulatory standards.,2
"Verify that all firm and regulatory policies and procedures have been documented, implemented, and communicated.",3
"Verify that all files, complaints, or other papers are available and in the proper order.",1
"Verify tank car, barge, or truck load numbers to ensure car placement accuracy based on written or verbal instructions.",1
"Verify staff credentials, such as educational and certification requirements.",1
"Verify stability, interoperability, portability, security, or scalability of system architecture.",1
Verify signatures and required information on checks.,1
Verify scoring calculations before competition winners are announced.,1
Verify regulatory compliance of transaction reporting.,1
"Verify readings in cases where consumption appears to be abnormal, and record possible reasons for fluctuations.",2
"Verify quality of finished workpieces by inspecting them, comparing them to templates, measuring their dimensions, or testing them in working machinery.",2
Verify proper packaging and labeling of exported goods.,1
"Verify proper functioning of physical security systems, such as closed-circuit televisions, alarms, sensor tag systems, or locks.",1
Verify part dimensions or clearances using precision measuring instruments to ensure conformance to specifications.,1
"Verify part dimensions or clearances to ensure conformance to specifications, using precision measuring instruments.",1
"Verify ownership and transaction information and dividend distribution instructions to ensure conformance with governmental regulations, using stock records and reports.",1
Verify legal descriptions of properties by comparing them to county records.,1
Verify key numbers and time codes on materials.,1
Verify income eligibility of participants in publicly financed weatherization programs.,1
"Verify facts, dates, and statistics, using standard reference sources.",1
Verify energy bills and meter readings.,1
"Verify dimensions, alignments, and clearances of finished parts for conformance to specifications, using measuring instruments such as calipers, gauge blocks, micrometers, or dial indicators.",1
Verify dimensions or check the quality or fit of pieces to ensure adherence to specifications.,1
"Verify dimensions of products, using measuring instruments, such as calipers, vernier gauges, or protractors.",1
"Verify dimensions of completed patterns, using templates, straightedges, calipers, or protractors.",1
"Verify dimensions of cable assemblies or positions of fittings, using measuring instruments.",1
"Verify dimensions and contours of models during hand-forming processes, using templates and measuring devices.",1
"Verify detonation of charges by observing control panels, or by listening for the sounds of blasts.",1
"Verify depths and dimensions of cuts or carvings to ensure adherence to specifications, blueprints, or models, using measuring instruments.",1
Verify depths and alignments of boring positions.,1
"Verify customers' credit, and establish how the customer will pay for the accommodation.",1
Verify customer credit ratings.,1
"Verify customer and order information for correctness, checking it against previously obtained information as necessary.",1
Verify credentials of patrons desiring entrance into press box and permit only authorized persons to enter.,1
"Verify credentials of participants in sporting events, and make other qualifying determinations, such as starting order or handicap number.",1
"Verify correct use and maintenance of physical security systems, such as closed-circuit television, merchandise tags, and burglar alarms.",1
"Verify conformance of workpieces to specifications, using squares, rulers, and measuring tapes.",1
"Verify conformance of patterns or template dimensions to specifications, using measuring instruments such as calipers, scales, and micrometers.",1
"Verify conformance of parts to stock lists or blueprints, using measuring instruments such as calipers, gauges, or micrometers.",1
"Verify conformance of machined work to specifications, using measuring instruments, such as calipers, micrometers, or fixed or telescoping gauges.",1
Verify compliance of developed applications with architectural standards and established practices.,1
"Verify bibliographical data for materials, including author, title, publisher, publication date, and edition.",1
"Verify availability or monitor use of safety equipment, such as hearing protection or respirators.",1
"Verify availability of operating room supplies, medications, and gases.",1
"Verify attendance, hours worked, and pay adjustments, and post information onto designated records.",1
"Verify and inspect cash reserves, assigned collateral, and bank-owned securities to check internal control procedures.",2
Verify and examine information and accuracy of loan application and closing documents.,1
Verify and analyze data used in settling claims to ensure that claims are valid and that settlements are made according to company practices and procedures.,1
"Verify and adjust alignments and dimensions of parts, using gauges and tracing lathes.",1
Verify amounts and quality of equipment prior to expeditions or tours.,1
"Verify all financial, physical, and human resources assigned to research or development projects are used as planned.",1
"Verify alignment of workpieces on machines, using measuring instruments such as rules, gauges, or calipers.",1
"Verify adherence of documentation to customs, insurance, or regulatory requirements.",1
Verify accuracy of transcripts by checking copies against original records of proceedings and accuracy of rulings by checking with judges.,2
Verify accuracy of timekeeping instruments with engineers to ensure trains depart on time.,1
"Verify accuracy of shapes and sizes of objects, using calipers and templates.",1
"Verify accuracy of reports, such as authorization forms, transaction reconciliations, or exchange summary reports.",1
Verify accuracy of materials lists.,1
Verify accuracy of billing data and revise any errors.,1
"Verify accuracy and completeness of land-related documents accepted for registration, preparing rejection notices when documents are not acceptable.",2
Vary language and tone of messages based on product and medium.,1
Vary air pressure flowing into regulators and turn handles to assess functioning of valves and pistons.,1
"Validate or characterize sustainable or environmentally friendly products, using electronic testing platforms.",1
Validate known intelligence with data from other sources.,1
"Validate fabrication processes for microelectromechanical systems (MEMS), using statistical process control implementation, virtual process simulations, data mining, or life testing.",1
"Validate design of fuel cells, fuel cell components, or fuel cell systems.",1
Vacuum dining area and sweep and mop kitchen floor.,2
"Vacuum and clean interiors, and wash and polish exteriors of automobiles.",1
Vacuum and clean interiors and wash and polish exteriors of automobiles.,1
"Utilize consultation data and social work experience to plan and coordinate client or patient care and rehabilitation, following through to ensure service efficacy.",1
"Use weapons, handcuffs, and physical force to maintain discipline and order among prisoners.",1
"Use traditional or digital cameras, along with a variety of equipment, such as tripods, filters, and flash attachments.",1
"Use the computer in the analysis and solution of business problems, such as development of integrated production and inventory control and cost analysis systems.",1
Use telephone to deliver verbal messages.,1
"Use special finishing techniques such as sponging, ragging, layering, or faux finishing.",1
"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",3
Use rotary abrasive wheels to shape and smooth nails or artificial extensions.,1
Use remote sensing data for forest or carbon tracking activities to assess the impact of environmental change.,1
Use radiation safety measures and protection devices to comply with government regulations and to ensure safety of patients and staff.,1
