DWA Title,Count of tasks_to_dwas.csv
Monitor student performance.,35
"Monitor student behavior, social development, or health.",16
Monitor sales activities.,7
Monitor resources.,5
Monitor recreational facility operations.,3
Monitor processes for compliance with standards.,13
Monitor performance of organizational members or partners.,12
Monitor patron activities to identify problems or potential problems.,8
Monitor patients to detect health problems.,4
Monitor patients following surgeries or other treatments.,9
Monitor patient progress or responses to treatments.,31
"Monitor patient conditions during treatments, procedures, or activities.",30
Monitor organizational processes.,7
Monitor organizational procedures to ensure proper functioning.,8
Monitor organizational compliance with regulations.,19
Monitor operations to ensure compliance with safety or security policies or regulations.,8
Monitor operational quality or safety.,15
Monitor operational procedures in technical environments to ensure conformance to standards.,12
Monitor operational activities to ensure compliance with regulations or standard operating procedures.,3
Monitor nutrition related activities of individuals or groups.,7
Monitor medical facility activities to ensure adherence to standards or regulations.,7
Monitor medical equipment to ensure proper functioning.,6
Monitor market conditions or trends.,11
Monitor lubrication of equipment or workpieces.,3
Monitor loading processes to ensure they are performed properly.,5
Monitor inventories of products or materials.,19
Monitor instruments to ensure proper production conditions.,13
Monitor industrial energy consumption or management.,2
Monitor health or behavior of people or animals.,6
"Monitor green energy equipment, systems, or facilities.",5
Monitor food services operations to ensure procedures are followed.,6
Monitor flow of cash or other resources.,6
Monitor financial information.,6
Monitor financial indicators.,6
Monitor financial activities.,2
Monitor facilities or operational systems.,5
Monitor extraction operations.,8
Monitor external factors impacting operations.,1
Monitor external affairs or events affecting business operations.,9
Monitor equipment operation to ensure that products are not flawed.,13
Monitor equipment operation to ensure proper functioning.,40
Monitor equipment gauges or displays to ensure proper operation.,12
Monitor equipment fluid levels.,4
Monitor environmental impacts of production or development activities.,7
Monitor environmental conditions to detect hazards.,5
Monitor environment to ensure safety.,4
Monitor engine operation or functioning.,6
Monitor current trends.,12
Monitor construction operations.,9
Monitor conditions at energy-producing landfills.,1
Monitor computer system performance to ensure proper operation.,6
Monitor clients to evaluate treatment progress.,9
Monitor cargo area conditions.,5
Monitor business indicators.,5
Monitor building premises to ensure occupant or visitor safety.,2
Monitor broadcasting operations to ensure proper functioning.,5
Monitor biofuel production operations.,4
Monitor availability of equipment or supplies.,12
Monitor animal behavior or condition.,6
Monitor alarm systems.,5
Monitor activities of individuals to ensure safety or compliance with rules.,10
Monitor activities affecting environmental quality.,3
Monitor access or flow of people to prevent problems.,6
Modify treatment plans to accommodate client needs.,5
Modify teaching methods or materials to accommodate student needs.,18
Modify software programs to improve performance.,14
Model operational processes.,2
"Model cosmetics, clothing, or accessories.",6
Mix substances to create chemical solutions.,20
Mix substances or compounds needed for work activities.,26
Mix sound inputs.,6
Mix ingredients.,6
Mix ingredients to create specific finishes.,8
Merchandise healthcare products or services.,7
"Melt metal, plastic, or other materials to prepare for production.",5
Meet with individuals involved in legal processes to provide information and clarify issues.,7
Meet with coworkers to communicate work orders or plans.,5
Mediate disputes.,8
Measure work site dimensions.,14
Measure the physical or physiological attributes of patients.,14
Measure the level or depth of water or other liquids.,11
Measure stock or liquid levels in sustainable fuel production systems.,2
Measure radiation levels.,6
Measure product or material dimensions.,9
Measure physical or chemical properties of materials or objects.,9
Measure physical characteristics of forestry or agricultural products.,7
"Measure materials to mark reference points, cutting lines, or other indicators.",15
Measure materials or objects for installation or assembly.,23
Measure ingredients.,5
Measure ingredients or substances to be used in production processes.,25
Measure equipment outputs.,6
Measure environmental characteristics.,9
Measure effectiveness of business strategies or practices.,4
Measure distances or dimensions.,13
Measure dimensions of completed products or workpieces to verify conformance to specifications.,58
Measure clients to ensure proper product fit.,7
"Market products, services, or events.",8
Mark reference points on construction materials.,26
"Mark products, workpieces, or equipment with identifying information.",29
Mark materials or objects for identification.,9
